,ID_MN_RESI,NU_IDADE_N,p
466,330030.0,46.0,0.8757763975155279
468,330070.0,19.0,0.6992481203007519
470,330095.0,59.0,0.9031476997578692
471,330130.0,62.0,0.9078341013824884
474,330190.0,13.525,0.5775019804594668
475,330200.0,20.25,0.7178130511463845
476,330220.0,19.0,0.6992481203007519
477,330227.0,11.166666666666666,0.488272921108742
478,330240.0,24.697916666666668,0.768632885461228
479,330250.0,7.786585365853658,0.26613715180668984
480,330270.0,19.0,0.6992481203007519
481,330280.0,20.0,0.7142857142857143
482,330285.0,14.022222222222222,0.592483586144442
483,330320.0,8.602564102564104,0.3357462209921228
484,330330.0,22.833333333333332,0.7497393117831075
485,330340.0,24.949561403508774,0.7709664862692902
486,330350.0,11.02818963201719,0.48184734712069854
487,330380.0,18.21794871794872,0.6863375892228814
488,330385.0,20.5,0.7212543554006969
489,330390.0,24.21212121212121,0.7639907026640443
490,330411.0,20.0,0.7142857142857143
492,330420.0,19.0,0.6992481203007519
493,330430.0,26.666666666666668,0.7857142857142858
494,330450.0,24.0,0.761904761904762
495,330452.0,19.0,0.6992481203007519
496,330455.0,21.113458535866844,0.7293534024954522
497,330490.0,14.698198198198199,0.6112254279584958
498,330510.0,9.271067879206479,0.38364320176083044
500,330550.0,20.0,0.7142857142857143
501,330555.0,26.0,0.7802197802197802
502,330575.0,21.0,0.7278911564625851
503,330580.0,22.066666666666666,0.7410444540353907
504,330610.0,21.076923076923077,0.7288842544316998
505,330630.0,19.25,0.7031539888682746
507,350030.0,19.0,0.6992481203007519
508,350050.0,20.0,0.7142857142857143
509,350070.0,13.116666666666665,0.5643492466872391
512,350160.0,30.3,0.8114097123998114
516,350240.0,14.0,0.5918367346938777
517,350250.0,37.5,0.8476190476190476
518,350275.0,10.19047619047619,0.4392523364485982
519,350280.0,9.380208333333334,0.3908146267946381
522,350330.0,18.977777777777778,0.6988959518233523
523,350380.0,18.458333333333332,0.690422444372783
524,350390.0,19.677304964539008,0.7096001853615839
526,350410.0,14.027173913043478,0.5926274422981126
527,350420.0,33.0,0.8268398268398268
528,350430.0,17.0,0.6638655462184875
529,350450.0,8.0,0.2857142857142858
531,350520.0,29.5,0.8062953995157385
532,350530.0,17.0,0.6638655462184875
534,350560.0,9.555555555555555,0.40199335548172765
535,350570.0,18.164763563191705,0.6854192076650589
537,350600.0,19.719961240310077,0.7102283496072499
538,350610.0,25.333333333333332,0.7744360902255639
539,350635.0,16.962121212121215,0.6631149109934282
540,350650.0,28.916666666666668,0.8023878139151914
541,350660.0,16.277777777777775,0.6489517308629936
543,350710.0,13.510416666666666,0.5770459301685208
544,350750.0,31.638888888888886,0.8193904427442619
545,350760.0,14.119791666666666,0.5952995731675186
548,350840.0,27.333333333333332,0.7909407665505226
549,350850.0,13.06712962962963,0.5626977097304822
552,350900.0,19.362280701754386,0.7048753810408321
553,350920.0,19.727083333333333,0.7103329662205995
554,350925.0,11.6,0.5073891625615764
555,350930.0,79.0,0.9276672694394213
557,350950.0,15.063795853269538,0.6206609695228011
558,350960.0,18.482905982905983,0.6908340214698596
559,350970.0,12.366666666666667,0.5379283788987295
560,351000.0,13.523809523809522,0.5774647887323944
561,351020.0,17.5,0.6734693877551021
563,351050.0,13.991666666666665,0.5915936356674891
564,351060.0,18.52953369309534,0.6916120065981461
565,351110.0,12.263888888888888,0.5340559779970878
566,351150.0,17.85,0.6798719487795118
567,351160.0,17.805555555555554,0.6790728772008023
572,351280.0,14.75,0.6125907990314771
573,351300.0,18.522578057509566,0.6914962001216141
574,351310.0,19.8,0.7113997113997115
575,351340.0,17.427083333333332,0.6721031508837845
576,351350.0,10.954861111111112,0.47837899026488584
577,351380.0,18.620833333333334,0.693124060991593
578,351390.0,37.888888888888886,0.8491830749895266
580,351430.0,28.0,0.7959183673469388
581,351440.0,22.0,0.7402597402597403
582,351450.0,16.5,0.6536796536796536
583,351480.0,17.0,0.6638655462184875
584,351500.0,15.669444444444444,0.6353230177020286
585,351510.0,16.127450980392158,0.6456795484151108
588,351550.0,11.4575,0.5012624294753905
589,351570.0,20.69871794871795,0.7239304517099501
590,351600.0,19.0,0.6992481203007519
591,351620.0,24.676666666666666,0.7684336465911503
592,351630.0,19.284176823787437,0.7036800810062568
593,351640.0,20.40168029064487,0.7199110253234395
595,351670.0,16.714285714285715,0.6581196581196582
596,351690.0,28.0,0.7959183673469388
598,351730.0,42.0,0.8639455782312926
603,351830.0,6.6313131313131315,0.13828745511913842
604,351840.0,17.333333333333332,0.6703296703296704
605,351860.0,17.666666666666668,0.6765498652291106
606,351870.0,10.443910256410257,0.4528595541331464
607,351880.0,18.10408116963757,0.6843647760556241
608,351905.0,26.0,0.7802197802197802
609,351907.0,9.0,0.3650793650793652
611,351930.0,23.0,0.7515527950310559
613,351950.0,28.0,0.7959183673469388
614,351960.0,20.75,0.7246127366609294
615,351970.0,27.0,0.7883597883597884
618,352020.0,21.5,0.7342192691029901
619,352040.0,25.5,0.7759103641456583
621,352050.0,10.87037037037037,0.47432465320029205
622,352090.0,16.0,0.6428571428571429
624,352210.0,12.4375,0.540559942569993
625,352220.0,15.156224095539164,0.6229743187838214
626,352230.0,13.01,0.5607774239595916
627,352240.0,14.0,0.5918367346938777
628,352250.0,13.038596491228072,0.5617407350453638
629,352260.0,32.333333333333336,0.8232695139911635
631,352280.0,50.0,0.8857142857142857
633,352310.0,15.927644521450357,0.6412347282995882
634,352330.0,19.0,0.6992481203007519
635,352340.0,17.741666666666667,0.6779171978796216
636,352360.0,38.0,0.849624060150376
637,352380.0,24.0,0.761904761904762
638,352390.0,10.47872340425532,0.4546773023930385
639,352400.0,10.0,0.4285714285714286
641,352430.0,19.25,0.7031539888682746
642,352440.0,22.011111111111113,0.7403908559890388
645,352480.0,19.0,0.6992481203007519
646,352500.0,18.654761904761905,0.6936821952776006
647,352510.0,17.0,0.6638655462184875
649,352530.0,19.9875,0.714107031180202
650,352550.0,21.154761904761905,0.7298818232976928
651,352560.0,20.0,0.7142857142857143
653,352580.0,14.0,0.5918367346938777
654,352585.0,22.0,0.7402597402597403
655,352590.0,20.217514124293785,0.7173596279366854
656,352600.0,11.9375,0.5213163799551235
658,352620.0,17.333333333333332,0.6703296703296704
659,352640.0,23.0,0.7515527950310559
661,352670.0,22.183333333333334,0.7424063539766019
662,352690.0,11.31635802469136,0.49504198242777275
664,352720.0,19.984848484848484,0.7140690999675079
665,352730.0,11.75,0.5136778115501521
666,352740.0,24.5,0.7667638483965015
667,352760.0,22.972222222222225,0.7512523751943341
669,352840.0,8.046296296296298,0.2898240999506825
670,352850.0,16.22222222222222,0.6477495107632094
672,352900.0,11.765151515151516,0.5143041118572349
673,352930.0,26.0,0.7802197802197802
674,352940.0,18.25,0.6868884540117417
676,353010.0,6.0,0.04761904761904778
677,353030.0,10.46111111111111,0.45375919884682503
678,353040.0,17.0,0.6638655462184875
679,353050.0,34.0,0.8319327731092437
680,353060.0,18.238357476512885,0.6866885780890908
681,353070.0,11.07051282051282,0.48382827363719083
683,353110.0,18.23913043478261,0.6867018559509621
684,353120.0,20.0,0.7142857142857143
685,353130.0,50.0,0.8857142857142857
687,353180.0,26.944444444444446,0.7879234167893963
690,353240.0,24.666666666666668,0.7683397683397684
691,353260.0,53.0,0.8921832884097035
694,353340.0,10.708333333333334,0.4663702056698166
695,353360.0,8.0,0.2857142857142858
696,353390.0,15.0,0.6190476190476191
697,353410.0,27.0,0.7883597883597884
698,353440.0,19.44354110207769,0.706108795497385
700,353470.0,15.711805555555555,0.6363062352012628
701,353490.0,29.0,0.8029556650246306
705,353600.0,10.0,0.4285714285714286
707,353650.0,10.626436781609197,0.4622575909758172
708,353670.0,12.229166666666668,0.5327330250669264
709,353680.0,12.333333333333334,0.5366795366795367
710,353710.0,25.0,0.7714285714285715
711,353720.0,18.0,0.6825396825396826
712,353730.0,11.458333333333334,0.5012987012987014
714,353760.0,10.039855072463768,0.43083982059081305
715,353780.0,9.777777777777779,0.4155844155844157
716,353790.0,40.0,0.8571428571428572
717,353800.0,15.73076923076923,0.6367446734194901
718,353860.0,24.333333333333332,0.7651663405088063
719,353870.0,9.818181818181818,0.41798941798941813
721,353890.0,6.333333333333333,0.09774436090225569
722,353910.0,22.527777777777782,0.7463449004756034
723,353930.0,21.8125,0.7380270159639788
724,353940.0,11.5,0.5031055900621119
725,353980.0,20.283602150537632,0.7182805267093916
726,354020.0,7.875,0.2743764172335602
727,354060.0,18.666666666666668,0.6938775510204083
728,354070.0,9.25,0.38223938223938225
731,354090.0,13.333333333333334,0.5714285714285715
732,354100.0,20.717905405405407,0.7241861277735717
733,354130.0,22.0,0.7402597402597403
734,354140.0,19.283333333333335,0.7036671193974566
735,354150.0,12.0,0.523809523809524
736,354160.0,19.0,0.6992481203007519
737,354200.0,8.0,0.2857142857142858
738,354220.0,37.0,0.8455598455598455
739,354240.0,13.0,0.5604395604395604
740,354260.0,16.479166666666668,0.6532418277045332
741,354320.0,7.0,0.1836734693877553
742,354330.0,18.78853046594982,0.6958630838829236
743,354340.0,17.115461847389557,0.6661331277392755
745,354390.0,16.947916666666668,0.6628325577311441
746,354410.0,16.881818181818183,0.661512424032618
752,354520.0,9.871212121212123,0.4211161056901658
754,354540.0,16.666666666666668,0.6571428571428573
755,354560.0,19.75,0.7106690777576854
756,354580.0,26.01388888888889,0.7803371215010297
757,354640.0,10.0,0.4285714285714286
759,354680.0,18.615384615384617,0.693034238488784
760,354730.0,15.095238095238095,0.6214511041009464
761,354780.0,19.61425702811245,0.7086667261423351
763,354850.0,23.312214611872147,0.7548801857985806
764,354870.0,18.71992924528302,0.6947485410114155
765,354880.0,21.67251461988304,0.7363349009328501
766,354890.0,18.7421875,0.6951110581790032
767,354910.0,18.726190476190478,0.6948506039415131
768,354940.0,10.0,0.4285714285714286
769,354950.0,33.5,0.8294243070362474
770,354970.0,29.444444444444443,0.8059299191374664
771,354980.0,8.471111111111112,0.32543846499775164
772,354990.0,15.161931818181818,0.6231162504349689
773,355030.0,18.71508454260899,0.6946695217285346
775,355060.0,6.921296296296296,0.1743908265647397
776,355070.0,11.484375,0.5024295432458699
777,355080.0,22.5,0.746031746031746
778,355100.0,19.253731343283583,0.7032115171650055
780,355150.0,23.0,0.7515527950310559
781,355160.0,15.149122807017543,0.6227975845810241
782,355170.0,13.548611111111109,0.5782382660906494
783,355210.0,30.5,0.8126463700234192
784,355220.0,13.123493975903614,0.5645758877340241
785,355240.0,10.196428571428571,0.4395796847635728
786,355250.0,20.3218085106383,0.7188101781741358
788,355280.0,17.82948717948718,0.6795036415371499
793,355400.0,7.283333333333334,0.21542987904543998
794,355410.0,10.424479166666666,0.4518396916598266
797,355480.0,10.158333333333333,0.4374780264854097
800,355530.0,41.0,0.8606271777003485
801,355540.0,14.133333333333331,0.5956873315363882
804,355600.0,27.0,0.7883597883597884
805,355610.0,24.666666666666668,0.7683397683397684
806,355620.0,17.51149425287356,0.6736837170050167
807,355630.0,29.5,0.8062953995157385
808,355640.0,23.225,0.7539597109026603
809,355645.0,9.666666666666668,0.4088669950738918
810,355650.0,17.697916666666668,0.6771209955435971
811,355670.0,14.729166666666666,0.612042836936755
813,355700.0,7.87037037037037,0.2739495798319328
814,355710.0,10.30864197530864,0.44568006843455943
816,410040.0,23.172101449275363,0.753398036565889
817,410120.0,36.0,0.8412698412698413
818,410180.0,22.57894736842105,0.7469197469197469
819,410230.0,17.458333333333332,0.6726900784180021
820,410400.0,18.0,0.6825396825396826
821,410410.0,26.0,0.7802197802197802
822,410420.0,19.477272727272727,0.7066177696282714
823,410425.0,26.25,0.782312925170068
824,410430.0,28.0,0.7959183673469388
825,410470.0,25.0,0.7714285714285715
826,410490.0,15.0,0.6190476190476191
827,410550.0,22.0,0.7402597402597403
828,410580.0,22.073611111111113,0.7411259224636184
829,410680.0,19.0,0.6992481203007519
